Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,44024178343,93789736842,3.14443E+11,3.23277E+11,3.38062E+11,3.01355E+11,3.01255E+11,3.19112E+11,3.58792E+11,3.65175E+11,3.37338E+11,3.72981E+11
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,215043969.8,624337145.3,2886170572,3295011382,3697351597,4109424800,4379136462,4754175869,5300962660,5609400722,3746321936,5405576236
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,2681912149,2961484954,12442036265,13242691430,14364937997,13104764334,14026048691,15365711725,17070866299,17280251194,17465392916,19140461606
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,2547163582,4323339212,9462289606,10551600478,11626278730,11091423499,11668253265,13489380931,15298771847,15725847979,14933066819,17364044944
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,78476000,115347500,179855800,185468000,185172900,182997300,200716000,212701200,219330300,232092300,241722400,259538700
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,1506914408,1779523344,6728208836,7223063170,6592537782,6166857629,6398738829,6800141922,7473550557,8066126312,8405491202,9996249658
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,2653480001,4663313620,11668685524,12292957324,13074137210,12007291046,12594149441,13713509312,14735695931,14436353898,11401050655,11529042672
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,2.61254E+11,7.07907E+11,1.20109E+12,1.27444E+12,1.31535E+12,1.17187E+12,1.07849E+12,1.15891E+12,1.22241E+12,1.26901E+12,1.09052E+12,1.27284E+12
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,147200000,233271800,327248700,317214400,319271200,316489900,332265200,366666800,401932300,412000000,408000000,404028900
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,..,1288429392,8709138765,9496717702,9510198962,7745241913,8071469355,9669741744,11457443185,11971345003,11859730544,13679221333
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,2481316054,2647885849,5743029680,6555983530,7069616049,6261622101,6472990923,6431314957,7194024563,7383745662,6739691605,8596096984
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,2560785660,1136896124,12292770631,12582122604,12226514722,11619892396,11181350461,11480847745,13178094459,14206359007,13312981595,15286441818
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,..,984297589.4,4087725813,4466039315,4594024180,4054712083,4377033429,4856632399,5506766651,5542053845,4769860741,5861268039
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,30180108562,38857251336,98266306615,1.06826E+11,1.19131E+11,1.10414E+11,1.11573E+11,1.18541E+11,1.27341E+11,1.2892E+11,1.21348E+11,1.42866E+11
